scheme,board_id,size_class,mask_ratio,mask_idx,target_number,rank,top1,top3,top5,top10,active_module_count_mean,abstain_rate,no_informative_modules_rate,score_std,final_score_std
baseline,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,77,23,0,0,0,0,9.083333333333334,0.0,0.0,0.0777966110317084,0.0777966110317084
hard_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,77,24,0,0,0,0,4.458333333333333,0.5614754098360656,0.0,0.06070827385404858,0.06070827385404858
hard_gate_055,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,77,15,0,0,0,0,2.2083333333333335,0.7827868852459017,0.0,0.07930532199405448,0.07930532199405448
hard_gate_060,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,77,19,0,0,0,0,1.8333333333333333,0.819672131147541,0.0,0.07282307540360916,0.07282307540360916
soft_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,77,23,0,0,0,0,9.083333333333334,0.0,0.0,0.06322124249970042,0.06322124249970042
centered_weighted_sum,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,77,23,0,0,0,0,9.416666666666666,0.0,0.0,0.07779661103170839,0.07779661103170839
baseline,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.5,0,3,34,0,0,0,0,9.275,0.0,0.0,0.11099171614461219,0.11099171614461219
hard_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.5,0,3,29,0,0,0,0,3.175,0.6840796019900498,0.0,0.076652998053682,0.076652998053682
hard_gate_055,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.5,0,3,31,0,0,0,0,1.6,0.8407960199004975,0.0,0.0839519638186631,0.0839519638186631
hard_gate_060,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.5,0,3,29,0,0,0,0,1.15,0.8855721393034826,0.1,0.09573640943810761,0.09573640943810761
soft_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.5,0,3,31,0,0,0,0,9.275,0.0,0.0,0.08388338381390541,0.08388338381390541
centered_weighted_sum,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.5,0,3,34,0,0,0,0,8.15,0.0,0.0,0.11099171614461219,0.11099171614461219
