case_id,group_id,row,col,baseline_score,baseline_rank,score_gap_to_top1,score_gap_to_top3,candidate_count,row_norm,col_norm,dist_to_center,is_border,is_corner,module_consensus_top1,module_consensus_top3,module_consensus_top5,label,module_score_logic_rule,module_rank_logic_rule,module_score_pattern_model,module_rank_pattern_model,module_score_prior_model,module_rank_prior_model
default_3,default_3,1,2,0.442832,7,0.35716800000000004,0.13602400000000003,40,0.125,0.2,0.7,1,0,1,1,1,0,0.035652,16,1.0,1,0.142857,7
default_3,default_3,8,1,0.400726,8,0.399274,0.17813,40,1.0,0.1,0.8,1,1,1,1,1,0,0.001815,34,1.0,1,0.0,8
default_3,default_3,7,5,0.37599,9,0.42401000000000005,0.20286600000000005,40,0.875,0.5,0.3,0,0,0,2,2,0,0.027277,20,0.555556,3,0.714286,3
default_3,default_3,7,6,0.374932,10,0.42506800000000006,0.20392400000000005,40,0.875,0.6,0.3,0,0,0,2,2,0,0.024631,21,0.555556,3,0.714286,3
default_3,default_3,6,7,0.354351,11,0.445649,0.224505,40,0.75,0.7,0.3,0,0,0,2,3,0,0.195402,3,0.333333,5,0.714286,3
default_3,default_3,4,6,0.352644,12,0.44735600000000003,0.22621200000000002,40,0.5,0.6,0.1,0,0,1,1,2,0,0.048276,15,0.333333,5,1.0,1
default_3,default_3,1,4,0.310059,13,0.48994100000000007,0.26879700000000006,40,0.125,0.4,0.5,1,0,0,1,2,0,0.005305,31,0.555556,3,0.428571,5
default_3,default_3,4,7,0.30821,14,0.49179000000000006,0.27064600000000005,40,0.5,0.7,0.2,0,0,0,1,2,0,0.008621,28,0.333333,5,0.857143,2
default_3,default_3,6,6,0.304762,15,0.49523800000000007,0.27409400000000006,40,0.75,0.6,0.2,0,0,0,1,2,0,0.0,35,0.333333,5,0.857143,2
default_3,default_3,4,9,0.299507,16,0.5004930000000001,0.279349,40,0.5,0.9,0.4,0,0,0,0,2,0,0.034483,17,0.428571,4,0.571429,4
default_3,default_3,1,5,0.295129,17,0.5048710000000001,0.28372700000000006,40,0.125,0.5,0.4,1,0,0,0,2,0,0.118774,6,0.333333,5,0.571429,4
default_3,default_3,6,1,0.289217,18,0.510783,0.28963900000000004,40,0.75,0.1,0.6,1,0,0,1,1,0,0.024631,21,0.555556,3,0.285714,6
default_3,default_3,6,10,0.281187,19,0.518813,0.297669,40,0.75,1.0,0.6,1,0,0,1,1,0,0.004554,32,0.555556,3,0.285714,6
default_3,default_3,7,10,0.280558,20,0.5194420000000001,0.29829800000000006,40,0.875,1.0,0.7,1,0,0,1,1,0,0.07441,11,0.555556,3,0.142857,7
default_3,default_3,4,3,0.277045,21,0.5229550000000001,0.30181100000000005,40,0.5,0.3,0.3,0,0,0,1,2,0,0.002136,33,0.333333,5,0.714286,3
default_3,default_3,5,1,0.264368,22,0.5356320000000001,0.31448800000000005,40,0.625,0.1,0.5,1,0,0,0,2,0,0.1133,7,0.333333,5,0.428571,5
default_3,default_3,3,6,0.254877,23,0.545123,0.323979,40,0.375,0.6,0.2,0,0,0,1,1,0,0.008621,28,0.2,6,0.857143,2
default_3,default_3,5,9,0.251817,24,0.5481830000000001,0.327039,40,0.625,0.9,0.4,0,0,0,0,2,1,0.010495,27,0.333333,5,0.571429,4
default_3,default_3,3,5,0.248057,25,0.5519430000000001,0.33079900000000007,40,0.375,0.5,0.2,0,0,0,1,1,0,0.08046,10,0.111111,7,0.857143,2
default_3,default_3,2,6,0.242474,26,0.5575260000000001,0.33638200000000007,40,0.25,0.6,0.3,0,0,0,1,2,0,0.137931,5,0.111111,7,0.714286,3
default_3,default_3,2,3,0.223645,27,0.5763550000000001,0.35521100000000005,40,0.25,0.3,0.5,0,0,0,0,2,0,0.011494,26,0.333333,5,0.428571,5
default_3,default_3,3,3,0.213903,28,0.5860970000000001,0.364953,40,0.375,0.3,0.4,0,0,0,0,2,0,0.137931,5,0.111111,7,0.571429,4
default_3,default_3,5,4,0.210693,29,0.589307,0.368163,40,0.625,0.4,0.2,0,0,0,1,1,0,0.050543,14,0.047619,8,0.857143,2
default_3,default_3,5,2,0.206765,30,0.5932350000000001,0.37209100000000006,40,0.625,0.2,0.4,0,0,0,0,1,0,0.031199,19,0.2,6,0.571429,4
default_3,default_3,6,9,0.203645,31,0.5963550000000001,0.37521100000000007,40,0.75,0.9,0.5,0,0,0,0,1,0,0.094828,9,0.2,6,0.428571,5
default_3,default_3,8,2,0.203284,32,0.596716,0.375572,40,1.0,0.2,0.7,1,0,0,0,1,0,0.103448,8,0.333333,5,0.142857,7
default_3,default_3,6,8,0.19688,33,0.6031200000000001,0.38197600000000004,40,0.75,0.8,0.4,0,0,0,0,1,0,0.006487,30,0.2,6,0.571429,4
default_3,default_3,5,3,0.192755,34,0.607245,0.386101,40,0.625,0.3,0.3,0,0,0,1,1,0,0.013633,24,0.111111,7,0.714286,3
default_3,default_3,8,9,0.191669,35,0.6083310000000001,0.38718700000000006,40,1.0,0.9,0.7,1,0,0,0,1,0,0.07441,11,0.333333,5,0.142857,7
default_3,default_3,1,9,0.169607,36,0.630393,0.40924900000000003,40,0.125,0.9,0.7,1,0,0,0,1,0,0.019257,22,0.333333,5,0.142857,7
default_3,default_3,7,4,0.143299,37,0.656701,0.435557,40,0.875,0.4,0.4,0,0,0,0,1,0,0.072533,12,0.0,9,0.571429,4
default_3,default_3,8,8,0.142159,38,0.657841,0.436697,40,1.0,0.8,0.6,1,0,0,0,0,0,0.012539,25,0.2,6,0.285714,6
default_3,default_3,3,2,0.133255,39,0.666745,0.445601,40,0.375,0.2,0.5,0,0,0,0,1,0,0.007741,29,0.111111,7,0.428571,5
default_3,default_3,7,2,0.114207,40,0.6857930000000001,0.46464900000000003,40,0.875,0.2,0.6,0,0,0,0,0,0,0.031548,18,0.111111,7,0.285714,6
default_4,default_4,1,5,0.914286,1,0.0,-0.228572,40,0.125,0.5,0.4,1,0,2,2,3,1,1.0,1,1.0,1,0.571429,4
default_4,default_4,6,10,0.71961,2,0.19467600000000007,-0.033895999999999926,40,0.75,1.0,0.6,1,0,1,2,2,0,0.656168,3,1.0,1,0.285714,6
