variant,size_class,board_id,target_row,target_col,target_number,rank,top1_hit,top3_hit,top5_hit,top10_hit,spatial_applied,spatial_affected_count,spatial_total_penalty,topk_max_cluster_size,topk_adjacent_pair_rate
baseline,10x12,10x12_0,7,4,54,42,0,0,0,0,0,0,0.0,3.0,0.08888888888888889
baseline,10x12,10x12_0,10,5,92,41,0,0,0,0,0,0,0.0,4.0,0.13333333333333333
baseline,10x12,10x12_0,9,5,94,31,0,0,0,0,0,0,0.0,3.0,0.13333333333333333
baseline,10x12,10x12_0,2,1,14,10,0,0,0,1,0,0,0.0,8.0,0.28888888888888886
baseline,10x12,10x12_0,8,10,103,33,0,0,0,0,0,0,0.0,3.0,0.08888888888888889
baseline,10x12,10x12_0,6,8,28,33,0,0,0,0,0,0,0.0,5.0,0.08888888888888889
baseline,10x12,10x12_0,7,6,63,56,0,0,0,0,0,0,0.0,2.0,0.022222222222222223
baseline,10x12,10x12_0,7,12,108,11,0,0,0,0,0,0,0.0,3.0,0.1111111111111111
baseline,10x12,10x12_0,7,5,30,3,0,1,1,1,0,0,0.0,5.0,0.1111111111111111
baseline,10x12,10x12_0,7,2,38,10,0,0,0,1,0,0,0.0,3.0,0.1111111111111111
